{'symbols':'XVSBUSD','symbol1':'XVS','symbol2':'BUSD','timeframe':'15m'}
{'open': 53.6, 'high': 53.66, 'low': 53.228, 'close': 53.66, 'vol': 220.282}
{'open': 53.66, 'high': 53.66, 'low': 52.56, 'close': 52.858, 'vol': 268.944}
{'open': 52.754, 'high': 52.83, 'low': 52.123, 'close': 52.351, 'vol': 1606.048}
{'open': 52.119, 'high': 52.119, 'low': 51.403, 'close': 51.792, 'vol': 655.726}
{'open': 51.731, 'high': 52.111, 'low': 51.428, 'close': 52.111, 'vol': 553.646}
{'open': 52.114, 'high': 52.419, 'low': 51.575, 'close': 52.419, 'vol': 713.243}
{'open': 52.423, 'high': 52.708, 'low': 52.096, 'close': 52.096, 'vol': 491.876}
{'open': 52.092, 'high': 52.266, 'low': 51.714, 'close': 52.266, 'vol': 881.379}
{'open': 52.287, 'high': 52.68, 'low': 52.146, 'close': 52.68, 'vol': 212.814}
{'open': 52.683, 'high': 52.888, 'low': 52.568, 'close': 52.888, 'vol': 699.824}
{'open': 52.888, 'high': 53.714, 'low': 52.843, 'close': 53.306, 'vol': 812.042}
{'open': 53.183, 'high': 53.645, 'low': 53.006, 'close': 53.583, 'vol': 240.982}
{'open': 53.59, 'high': 54.217, 'low': 53.59, 'close': 54.137, 'vol': 776.761}
{'open': 54.138, 'high': 54.306, 'low': 53.7, 'close': 54.284, 'vol': 653.672}
{'open': 54.14, 'high': 54.304, 'low': 53.906, 'close': 54.065, 'vol': 350.436}
{'open': 53.971, 'high': 54.21, 'low': 53.774, 'close': 54.015, 'vol': 138.125}
{'open': 54.018, 'high': 54.119, 'low': 53.467, 'close': 53.467, 'vol': 269.557}
{'open': 53.547, 'high': 53.672, 'low': 53.378, 'close': 53.619, 'vol': 115.991}
{'open': 53.619, 'high': 54.058, 'low': 53.58, 'close': 54.024, 'vol': 82.004}
{'open': 53.805, 'high': 54.067, 'low': 53.805, 'close': 53.957, 'vol': 95.997}
{'open': 54.037, 'high': 54.143, 'low': 53.804, 'close': 54.143, 'vol': 162.634}
{'open': 53.999, 'high': 54.192, 'low': 53.692, 'close': 53.787, 'vol': 1020.174}
{'open': 53.691, 'high': 54.012, 'low': 53.601, 'close': 53.877, 'vol': 154.036}
{'open': 53.906, 'high': 54.315, 'low': 53.798, 'close': 54.315, 'vol': 309.955}
{'open': 54.163, 'high': 54.415, 'low': 54.055, 'close': 54.309, 'vol': 130.955}
{'open': 54.218, 'high': 54.218, 'low': 52.872, 'close': 53.366, 'vol': 802.528}
{'open': 53.28, 'high': 53.432, 'low': 53.046, 'close': 53.191, 'vol': 75.707}
{'open': 53.295, 'high': 53.528, 'low': 52.959, 'close': 52.959, 'vol': 1178.295}
{'open': 53.067, 'high': 53.287, 'low': 52.868, 'close': 53.287, 'vol': 70.221}
{'open': 53.285, 'high': 53.775, 'low': 53.176, 'close': 53.176, 'vol': 177.31}
{'open': 53.236, 'high': 53.236, 'low': 52.917, 'close': 52.922, 'vol': 160.918}
{'open': 53.048, 'high': 53.061, 'low': 52.764, 'close': 52.965, 'vol': 191.053}
{'open': 52.999, 'high': 53.5, 'low': 52.999, 'close': 53.5, 'vol': 283.269}
{'open': 53.5, 'high': 53.5, 'low': 52.803, 'close': 52.888, 'vol': 609.505}
{'open': 52.987, 'high': 53.384, 'low': 52.872, 'close': 53.384, 'vol': 172.727}
{'open': 53.387, 'high': 54.163, 'low': 53.277, 'close': 54.118, 'vol': 558.604}
{'open': 54.119, 'high': 55.632, 'low': 54.119, 'close': 55.632, 'vol': 732.601}
{'open': 55.645, 'high': 55.816, 'low': 54.955, 'close': 55.142, 'vol': 819.169}
{'open': 55.261, 'high': 55.801, 'low': 55.192, 'close': 55.801, 'vol': 679.658}
{'open': 55.803, 'high': 56.079, 'low': 55.536, 'close': 56.079, 'vol': 435.785}
{'open': 56.079, 'high': 56.224, 'low': 55.834, 'close': 55.968, 'vol': 508.22}
{'open': 56.032, 'high': 56.219, 'low': 55.438, 'close': 55.657, 'vol': 246.335}
{'open': 55.561, 'high': 55.87, 'low': 55.437, 'close': 55.868, 'vol': 239.326}
{'open': 55.819, 'high': 55.82, 'low': 54.988, 'close': 55.547, 'vol': 752.274}
{'open': 55.425, 'high': 55.501, 'low': 54.669, 'close': 54.897, 'vol': 1195.944}
{'open': 54.952, 'high': 55.101, 'low': 54.742, 'close': 54.776, 'vol': 338.681}
{'open': 54.862, 'high': 55.055, 'low': 54.771, 'close': 55.055, 'vol': 175.492}
{'open': 54.974, 'high': 55.096, 'low': 54.714, 'close': 54.828, 'vol': 328.127}
{'open': 54.838, 'high': 54.838, 'low': 54.306, 'close': 54.439, 'vol': 159.008}
{'open': 54.637, 'high': 54.644, 'low': 53.806, 'close': 53.918, 'vol': 336.369}
{'open': 53.804, 'high': 54.036, 'low': 53.247, 'close': 53.499, 'vol': 1209.403}
{'open': 53.499, 'high': 53.826, 'low': 53.183, 'close': 53.826, 'vol': 409.479}
{'open': 53.838, 'high': 54.444, 'low': 53.757, 'close': 54.113, 'vol': 565.258}
{'open': 54.125, 'high': 54.284, 'low': 53.346, 'close': 53.758, 'vol': 1128.107}
{'open': 53.611, 'high': 54.016, 'low': 53.611, 'close': 53.727, 'vol': 165.025}
{'open': 53.828, 'high': 54.244, 'low': 53.795, 'close': 53.92, 'vol': 408.914}
{'open': 54.141, 'high': 54.418, 'low': 53.659, 'close': 53.792, 'vol': 262.637}
{'open': 53.66, 'high': 54.01, 'low': 53.659, 'close': 53.897, 'vol': 88.881}
{'open': 54.005, 'high': 54.163, 'low': 53.9, 'close': 54.163, 'vol': 283.724}
{'open': 54.163, 'high': 54.472, 'low': 54.066, 'close': 54.139, 'vol': 192.28}
{'open': 54.138, 'high': 54.269, 'low': 53.746, 'close': 53.892, 'vol': 637.683}
{'open': 53.906, 'high': 54.134, 'low': 53.829, 'close': 54.116, 'vol': 335.66}
{'open': 54.0, 'high': 54.542, 'low': 53.86, 'close': 54.542, 'vol': 633.264}
{'open': 54.538, 'high': 54.547, 'low': 54.012, 'close': 54.244, 'vol': 87.188}
{'open': 54.243, 'high': 55.009, 'low': 54.243, 'close': 54.703, 'vol': 491.134}
{'open': 54.754, 'high': 54.986, 'low': 54.653, 'close': 54.742, 'vol': 242.302}
{'open': 54.706, 'high': 54.774, 'low': 53.944, 'close': 54.423, 'vol': 700.895}
{'open': 54.309, 'high': 55.107, 'low': 54.0, 'close': 55.029, 'vol': 1183.852}
{'open': 55.048, 'high': 56.704, 'low': 55.048, 'close': 56.704, 'vol': 2357.77}
{'open': 56.704, 'high': 56.837, 'low': 56.05, 'close': 56.151, 'vol': 929.844}
{'open': 56.151, 'high': 56.347, 'low': 56.014, 'close': 56.347, 'vol': 103.041}
{'open': 56.376, 'high': 56.709, 'low': 56.169, 'close': 56.709, 'vol': 307.048}
{'open': 56.709, 'high': 57.663, 'low': 56.431, 'close': 57.619, 'vol': 1253.216}
{'open': 57.625, 'high': 57.675, 'low': 57.195, 'close': 57.592, 'vol': 449.994}
{'open': 57.675, 'high': 57.737, 'low': 57.385, 'close': 57.475, 'vol': 243.84}
{'open': 57.599, 'high': 57.637, 'low': 57.084, 'close': 57.355, 'vol': 94.845}
{'open': 57.412, 'high': 58.113, 'low': 57.342, 'close': 57.869, 'vol': 456.206}
{'open': 57.869, 'high': 58.019, 'low': 57.687, 'close': 57.892, 'vol': 806.702}
{'open': 57.847, 'high': 58.068, 'low': 57.581, 'close': 57.791, 'vol': 82.447}
{'open': 57.585, 'high': 57.742, 'low': 57.324, 'close': 57.338, 'vol': 93.959}
{'open': 57.324, 'high': 57.326, 'low': 56.703, 'close': 56.703, 'vol': 993.906}
{'open': 56.891, 'high': 56.892, 'low': 56.364, 'close': 56.595, 'vol': 201.962}
{'open': 56.599, 'high': 56.836, 'low': 56.58, 'close': 56.836, 'vol': 156.594}
{'open': 56.837, 'high': 57.9, 'low': 56.739, 'close': 56.984, 'vol': 1390.801}
{'open': 56.957, 'high': 57.134, 'low': 56.878, 'close': 56.947, 'vol': 54.314}
{'open': 56.88, 'high': 57.051, 'low': 56.836, 'close': 57.04, 'vol': 116.837}
{'open': 57.007, 'high': 57.399, 'low': 56.931, 'close': 57.399, 'vol': 117.024}
{'open': 57.399, 'high': 57.447, 'low': 57.211, 'close': 57.262, 'vol': 53.485}
{'open': 57.447, 'high': 57.447, 'low': 56.966, 'close': 57.197, 'vol': 218.504}
{'open': 57.197, 'high': 57.197, 'low': 56.579, 'close': 56.66, 'vol': 69.692}
{'open': 56.597, 'high': 56.789, 'low': 56.498, 'close': 56.744, 'vol': 42.625}
{'open': 56.706, 'high': 56.867, 'low': 56.632, 'close': 56.834, 'vol': 27.07}
{'open': 56.833, 'high': 57.346, 'low': 56.718, 'close': 57.346, 'vol': 245.189}
{'open': 57.352, 'high': 58.0, 'low': 57.316, 'close': 58.0, 'vol': 203.889}
{'open': 58.004, 'high': 58.375, 'low': 57.257, 'close': 57.954, 'vol': 486.441}
{'open': 57.954, 'high': 57.983, 'low': 57.763, 'close': 57.965, 'vol': 50.275}
{'open': 57.835, 'high': 58.077, 'low': 57.771, 'close': 57.771, 'vol': 229.78}
{'open': 57.996, 'high': 58.052, 'low': 57.671, 'close': 57.671, 'vol': 44.108}
{'open': 57.929, 'high': 57.989, 'low': 57.571, 'close': 57.986, 'vol': 175.792}
{'open': 57.782, 'high': 58.113, 'low': 57.686, 'close': 57.937, 'vol': 221.821}
{'open': 58.046, 'high': 58.183, 'low': 57.948, 'close': 58.051, 'vol': 158.699}
{'open': 57.957, 'high': 57.957, 'low': 57.264, 'close': 57.57, 'vol': 229.618}
{'open': 57.567, 'high': 57.873, 'low': 57.13, 'close': 57.214, 'vol': 258.289}
{'open': 57.176, 'high': 57.321, 'low': 56.969, 'close': 57.09, 'vol': 794.709}
{'open': 57.124, 'high': 57.303, 'low': 57.093, 'close': 57.244, 'vol': 43.209}
{'open': 57.097, 'high': 57.304, 'low': 57.04, 'close': 57.267, 'vol': 40.787}
{'open': 57.205, 'high': 57.206, 'low': 57.018, 'close': 57.083, 'vol': 25.765}
{'open': 57.138, 'high': 57.271, 'low': 57.014, 'close': 57.215, 'vol': 43.346}
{'open': 57.04, 'high': 57.244, 'low': 57.022, 'close': 57.231, 'vol': 32.569}
{'open': 57.222, 'high': 57.278, 'low': 57.111, 'close': 57.269, 'vol': 294.463}
{'open': 57.269, 'high': 57.269, 'low': 57.018, 'close': 57.124, 'vol': 20.043}
{'open': 57.129, 'high': 57.369, 'low': 57.0, 'close': 57.369, 'vol': 188.445}
{'open': 57.373, 'high': 57.377, 'low': 57.123, 'close': 57.137, 'vol': 26.142}
{'open': 57.151, 'high': 57.243, 'low': 57.023, 'close': 57.175, 'vol': 784.882}
{'open': 57.125, 'high': 57.159, 'low': 57.046, 'close': 57.109, 'vol': 38.366}
{'open': 57.042, 'high': 57.234, 'low': 57.0, 'close': 57.186, 'vol': 193.422}
{'open': 57.016, 'high': 57.132, 'low': 56.97, 'close': 57.082, 'vol': 49.866}
{'open': 57.044, 'high': 57.112, 'low': 56.995, 'close': 57.069, 'vol': 12.944}
{'open': 57.071, 'high': 57.112, 'low': 56.992, 'close': 57.089, 'vol': 2.543}
{'open': 57.071, 'high': 57.095, 'low': 56.756, 'close': 56.756, 'vol': 54.142}
